target,tar_desc
3/1415692,A tractor is spraying liquid over a dry field.
2/1126822,"A scientist in a lab coat is writing on a clipboard next to a green pepper, with colorful test tubes and a flask in the background."
159/1036953416,A single papaya is displayed prominently.
126/1021969309,"The image features a room being painted, with two individuals styled as decorative elements within the space."
41/15757723,"A woman kneeling on the floor, leaning forward with both hands resting on a wooden chair that is turned upside down."
15/5901122,"A lush scene filled with various plants, including grasses and shrubs, in a vibrant green setting."
179/1049368012,The image shows a series of oscillating waveforms in shades of blue on a black background.
29/10774565,A family of four is walking along the beach during sunset.
19/7116448,A shiny red cherry with a green leaf attached.
154/1034491061,"An eye symbol is integrated with digital circuit patterns and binary code, representing a hacker's perspective."
109/1014788735,"The image displays a digital map of East Asia with a focus on China, highlighted in bright yellow against a dark blue background, with the label 'China' prominently placed."
55/21282088,Tape is placed across the steps of the escalator.
43/16320334,"A group of friends sitting together, each holding a glass and enjoying drinks in a bright, inviting space."
15/5817551,"An old-style water meter with a round brass face and vintage numerals, connected to metal pipes."
81/31941847,"Waves are crashing against the rocky coastline, creating foam and splashes around the jagged stones."
9/3868004,A person measuring a piece of black fabric on a wooden table using a measuring tape.
7/2914291,"A bride in a beautiful wedding dress stands outdoors, surrounded by greenery."
21/7695763,A spread view of an arrangement of chocolate and white chocolate curls displayed on a decorative surface.
32/11988323,"A warning alert signal is added to the image, enhancing the 'DANGER' and 'RADIATION WARNING' text."
102/1012031924,A student visa application form is displayed on a table with a black pen next to it and a blue passport in the background.
92/1007815789,A close-up view of a digital interface featuring a pound currency symbol.
61/24056581,A person is slicing a red bell pepper on a wooden cutting board.
78/30831868,"The sky is filled with dark, dense clouds, and rain is falling in streaks from the clouds."
142/1028910758,"A young doctor is sitting at a desk with a laptop open in front of him, wearing a white lab coat and a stethoscope."
126/1022033377,"A businesswoman standing in profile against a plain white background, wearing a professional suit."
43/16594387,"The man stands with a downcast expression, his shoulders slightly slumped, conveying a sense of sadness."
82/32346046,"The outline of Catalonia in red and yellow stripes with the word 'VOTE' prominently displayed, symbolizing a referendum."
184/1053166373,"A white circular face with a sad expression, featuring downturned eyebrows and a frown."
91/1007402233,A walkway lined with stone columns in a park-like setting.
166/1040914073,"A man in a white tank top gestures with both hands raised, expressing frustration or disbelief."
146/1030885181,A cluster of purple daisies with yellow centers is blooming in a vibrant summer garden surrounded by lush green plants.
141/1028323190,"A decorative invitation featuring the word 'Welcome' in sparkling gold script, surrounded by elegant golden and white fireworks on a dark background."
44/16984315,"A young man sitting on a bench in a town, holding a smartphone to his ear."
2/1242103,A sunset view over islands with silhouettes of rocky formations against a colorful sky.
2/1346155,A gray and white cat is actively eating scattered pieces of dry cat food on a concrete surface.
69/27090490,"A young woman is standing in a city environment, holding a green smartphone."
13/4953836,"A dark tunnel with concrete walls and a road surface, illuminated by lights along the ceiling, suggesting a drive through the tunnel."
146/1030562174,"A pink circular icon with a male figure graphic in the center, surrounded by interconnected green and blue circles and lines."
34/12659000,"A serene lake reflecting the sky, surrounded by distant hills."
106/1013732024,"A close-up of a horse's eye, showcasing its large, dark iris and the surrounding fur."
73/28518934,"A cluster of roses in various stages of bloom, predominantly featuring soft pink blooms, surrounded by lush green foliage with visible water droplets."
112/1015978330,A pot filled with vibrant red roses.
112/1016006272,A man wearing a blue cap and a light blue athletic shirt is walking in a grassy field during sunset.
45/17315740,"A man stands barefoot on a sandy beach, facing the ocean, wearing a white dress."
96/1009647743,"The trees with vibrant yellow foliage are now set in a lush forest, surrounded by a variety of other trees and underbrush."
82/32445160,"A ripe red raspberry hanging from a green plant, tasting tart."
110/1015344643,"A vibrant sunset sky filled with warm hues of orange, pink, and purple, with clouds illuminated by the fading light."
56/21867535,"The image shows a digital trading screen with the word 'Coffee' in white text, accompanied by a red downward arrow indicating a decrease in value."
42/15986464,"Two gibbons are hanging from a branch with their arms extended, appearing to interact with each other."
120/1019524654,A cluster of small white flowers on a green plant with a bug perched on one of the blossoms.
68/26587388,A vast field of yellow flowers under a clear blue sky.
2/1109131,A lantern emits a warm glow in a dark setting.
160/1037542979,"A zebra is bending down to drink water from a small pond in a rocky, arid landscape."
52/20201365,A man with short blonde hair wearing a light beige sweater is extending his arm forward with a finger pointed.
61/23824663,"A businesswoman sitting at a café table, focused on her smartphone, dressed in formal attire with a cup of coffee beside her."
21/7771642,A person playing a flute.
90/1007029828,A young woman sits in a chair with an eye examination device in front of her.
18/6814651,"A dense forest filled with numerous trees under a starry night sky, with an orange glow illuminating the background."
71/27762127,A collection of pecans scattered on a wooden surface.
13/5224922,"A woman sitting at a desk, looking stressed while facing a computer monitor."
10/3967027,A small turtle with a patterned shell is moving across a wooden surface.
25/9208808,A person in a dark jacket stands on a fallen tree trunk in a snowy forest.
126/1022092966,"A man stands by the ocean, gazing upward with a serene expression, wearing a light blue tank top."
192/1058767663,"The image shows a yellow onion that has been cut in half, revealing its inner layers, placed on a wooden cutting board."
4/2100944,"A man holding a camera looks distressed, with a hand on his head, indicating he has a headache."
15/5895062,"A woman with blonde hair is sitting on a light-colored couch, wearing a gray sweater, with one hand raised to her mouth in a thoughtful pose."
183/1052220379,The woman is holding a yellow bell pepper in her right hand.
46/17622835,"A baseball field with bases and a pitcher's mound on a grassy area, surrounded by trees and houses."
85/33390760,"A person standing against a wall, holding a stack of binders, appears surprised."
4/2067968,"A majestic mountain stands tall against the sky, with rugged slopes and rocky outcrops."
162/1038921533,A flat expanse of green rice fields surrounded by lush vegetation.
56/22050145,"A woman in a dark blazer and teal blouse stands in a warehouse next to a man, both engaged with a laptop on a table."
46/17817397,A cluster of iris flowers with tall green leaves in a vibrant garden.
79/31219933,"A wooden signpost with the word 'SUCCESS' written in bold, brown letters against a bright blue sky."
116/1017837328,The image features a plain white background.
13/5100179,"A schoolboy wearing a dark blazer with yellow trim, a white shirt, and a blue and yellow striped tie is positioned in front of a computer screen in a classroom."
89/1006582516,A man is looking at a webpage displaying various shoes for sale on a computer screen.
71/27874612,"The water in the pan is boiling, with bubbles rising to the surface."
1/795682,"A woman sitting in a lush outdoor setting filled with palm trees, wearing a white t-shirt and a blue skirt, holding a phone to her ear."
54/20816947,"A person in a light purple shirt is standing in front of a glass door, looking at their phone."
0/344671,"Two speech bubbles in a dark blue background, one with a question mark."
17/6426212,A series of concentric hearts in a swirling pattern against a bright red background.
120/1019478436,A group of monkeys is playing among the bushes and trees in a natural setting.
68/26852350,"The woman is sitting on a couch, holding up her right hand to make an 'okay' sign."
192/1058838775,"A representation of a deadline, symbolized by a clock with hands approaching midnight."
144/1029562406,"A flower with pale pink petals and maroon irises, featuring a green stem and two buds."
65/25484375,"A digital interface showing a progress bar labeled 'Deactivating' at 74%, with an added modification tool next to it."
42/16064500,A tropical beach under a bright sun with clear blue skies and gentle waves lapping at the sandy shore.
123/1020943438,An orange crayon lying horizontally on a white surface.
12/4713578,A brown horse is grazing in a grassy field.
95/1009083056,"A young boy sitting on a couch, wearing a blue vest over a white shirt, holding a smartphone in his hands."
73/28594894,A white daisy flower with a yellow center surrounded by green leaves and unopened buds.
44/17074147,"Two individuals are engaged in a playful tickle fight on a bed, laughing and moving joyfully."
78/30898858,The woman in a light blue bra is touching her belly with one hand.
98/1010327807,"The image is overlaid with a blue tint, creating a cooler atmosphere in a dimly lit scene."
30/11373776,A house is placed on the grassy field under a blue sky with white clouds.
178/1048628068,"A woman is walking down a narrow alleyway between two brick walls, wearing a black jacket, a dark sweater, and a yellow beanie, along with a face mask."
63/24824921,The woman in a white shirt is standing indoors with her left hand raised in a stop gesture.
91/1007399821,A pile of firewood consisting of logs stacked together.
104/1012967513,"The highway in Chicago is illuminated by the warm hues of sunset, with vibrant colors in the sky and light trails from vehicles."
109/1014767465,"A transparent view of a human body from above, highlighting the larynx in orange within the thoracic cavity."
184/1053028586,A swarm of glowing fireflies is illuminated against a dark background.
60/23386042,An artificial Christmas tree made of green material with gold bells stands next to a brightly lit snowman.
16/5976626,A display of wedding cakes arranged elegantly in a romantic setting.
140/1027862450,"The image features a series of thin, horizontal lines in varying lengths and brightness, predominantly in shades of purple, set against a black background."
141/1028386241,"A young boy swinging on a rope swing over a clear, turquoise body of water."
41/15664480,A woman is sitting at a desk with a laptop open in front of her.
52/20014960,A woman in a denim shirt is holding a chalkboard sign that reads 'Open' in a cozy shop filled with various products.
168/1042132714,The image features a vibrant blue background filled with numerous sparkling particles that resemble snowflakes or glitter.
48/18432412,"A blooming lily flower emerges from the water, surrounded by green lily pads."
26/9584378,"A man sitting in a chair near a large window, wearing a striped shirt and earbuds, holding a smartphone."
181/1050751270,"A young boy sitting against a gray background appears bored, with a neutral expression and relaxed posture."
160/1037779613,An abstract joystick with vibrant colors and a glitch effect against a black background.
14/5311088,"A woman, a man, and a young girl are racing each other in a park."
9/3785720,"A red bell pepper with a rounded shape and smooth, shiny skin, placed against a plain white background."
133/1024927847,"The man is sitting on a bench in a gym, holding a barbell in one hand."
66/26032457,A pair of hands holding a stalk of celery while cutting it on a wooden cutting board with a knife.
57/22413817,"A man in a blue t-shirt is conducting a coaching session, writing the word 'PROJ' in the air with a marker."
43/16295440,"Two yellow oil pumps are positioned in a grassy field under a partly cloudy sky, with a wider view of the surrounding landscape."
8/3331031,"Several prawns are sizzling on a grill, with steam rising from the cooking seafood."
183/1052409154,"A splash of milk surrounds a white egg at the center, creating a crown-like effect."
2/1237669,"A carrot is partially submerged in clear water, with bubbles rising around it."
114/1017119107,"The image features an arrangement of purple decorative lights resembling flowers, enhanced with golden fairy lights interspersed throughout."
183/1052707868,"An office space with desks, chairs, and computers, creating a professional work environment."
40/15411430,A woman with long brown hair is holding three bunches of spinach in her hands.
44/16782892,"The river flows through a concrete channel under a vibrant sunset sky, with warm hues of orange and purple reflecting on the water."
52/20166970,"A woman jogging along a beach before sunrise, with cooler tones in the sky and ocean."
6/2866612,"A vibrant avocado market with various avocados displayed on stalls, surrounded by customers and vendors."
13/5233712,"A spherical representation of various biological terms, with the word 'BIOLOGY' prominently displayed in red at the center, surrounded by names of different species and biological concepts."
56/21785986,A display of kiwis arranged in green crates among other assorted fruits in a grocery store.
18/6811189,A woman's hand holding a cigarette.
152/1033290905,A young man dressed in a formal blue suit with a white shirt and a blue tie is standing with his hand resting thoughtfully on his chin.
167/1041460417,A woman in a white lab coat is presenting a holographic display that reads 'CONSUMER PSYCHOLOGY'.
12/4923290,Two black women are collaborating at a desk with a laptop open in front of them.
52/20301145,"A group of four individuals is dancing together in a modern space, with two women and two men expressing lively movements and poses."
185/1053493115,"A person kneeling on the grass, planting a small oak tree."
104/1012881746,"The man is sitting outdoors with a serious expression, wearing a short-sleeved shirt with black and white stripes and a blue collar."
26/9873815,A vibrant purple tulip with velvety petals and a contrasting yellow center is surrounded by green foliage.
158/1036763696,A man is writing on a whiteboard in a bright room.
52/20025961,"A man is standing at a market stall, holding two ripe red tomatoes in one hand while examining another tomato in the other hand."
36/13676639,A bowl filled with dark roasted coffee beans.
8/3471845,"A couple is lounging by a swimming pool, enjoying drinks together on sunbeds."
22/8157100,A stage illuminated by colorful lights in shades of blue and purple.
13/4957643,A vast expanse of water under a clear blue sky with a few fluffy white clouds.
54/21129922,Close-up view of lettuce plants with green leaves growing from the ground.
35/13311764,Hands of different skin tones are energetically raising large red letters that spell 'Health' against a bright blue sky and green field.
53/20616205,A horizontal white frame hanging from a string against a bright green background.
191/1057878082,"A woman dressed in a professional business outfit stands confidently in a subway train, exuding an air of professionalism."
80/31538113,"A mother and her young son are lying on a blanket inside a makeshift tent, playing together with a tablet."
119/1018983193,"The image depicts a dark surface of water with visible ripples, suggesting motion."
181/1050867430,"A person in a light pink hoodie stands with arms outstretched against a gray background, conveying a sense of calmness."
63/24564344,A dropdown menu labeled 'Books' with a downward-pointing red arrow next to it.
8/3331511,A snowy field under a gray overcast sky with bare trees in the background.
125/1021545571,"A beautifully decorated wedding table featuring an array of cakes, floral centerpieces, and elegant table settings."
57/22129918,A cheer pom-pom held in a person's hand.
37/14019983,Snow-covered branches of evergreen trees against a clear sky.
54/20903047,A glowing Christmas tree with enhanced sparkles and brightness against a red background.
2/930100,"A couple is cooking together in the kitchen, with one person chopping tomatoes on a wooden cutting board while the other prepares green beans."
115/1017558094,"A woman stands on a balcony overlooking the ocean, wearing a yellow floral dress and a large straw hat."
22/8258074,"Icicles hang from the edge of a wooden roof, with water droplets visible."
105/1013116028,"A plate filled with a colorful assortment of vegetables including diced potatoes, red and yellow bell peppers, and olives."
22/8202892,A woman is reading a book to a baby while lying on a bed.
71/27828379,"An abstract representation of a syndrome, possibly including medical symbols or charts."
43/16469101,"A representation of the internet's vulnerability, highlighted by the word 'HACKED' amidst binary code."
129/1023330022,"The image features a collection of circular shapes in varying sizes, predominantly in shades of orange, arranged in a random pattern against a white background."
56/21953590,One woman is holding a laptop while standing next to another woman in a hallway with lockers in the background.
30/11327417,"A large quantity of dark rye grains spread out on a flat surface, with a hand holding a magnifying glass above them."
58/22662805,"Several apples with a smooth skin, in shades of red and green, are arranged closely together, covered in droplets of water."
139/1027537664,"The image shows a collection of square tiles arranged in a grid pattern, all in white."
97/1009991825,A sliced loaf of bread with a small pile of wheat grains and several eggs placed nearby.
161/1038293003,"A man in a white lab coat is holding out his hand, with a holographic display showing the text 'TRAVEL PSYCHOLOGY' in front of him."
119/1019260174,"A child at the beach wearing a colorful swimsuit and sunglasses, holding a strawberry-shaped lollipop, with a towel draped over their shoulder."
33/12383354,Flames of fire flicker brightly against a dark background.
5/2511383,A woman in a yellow dress is holding a lemon.
59/23258938,"The image shows a digital display of banana prices, with an upward trend indicated by a green arrow."
71/28058194,"A woman is swimming in the sea, surrounded by waves and a clear blue sky."
39/14881186,A hand is writing 'Smile with success' in turquoise cursive on a white surface.
176/1047372214,"An older man sitting at a table in a modern café, working on a laptop and giving a thumbs-up gesture."
83/32754349,"A tranquil river scene at night, with calm water reflecting the moonlight."
74/28973731,A pair of hands holding a single red radish with green leaves.
6/2687657,"Children are playing on the beach at sunset, with the sky reflecting soft hues of pink and orange."
68/26720038,"A set of candles arranged on a decorative base, softly glowing in a dimly lit environment."
1/741547,A hand holds a half-sliced red tomato on a wooden cutting board.
55/21422584,"A band performing with musicians playing various instruments in a warm, golden-lit setting."
90/1007256883,"A cartoon-style dog standing on a dark blue background, with a round body, large eyes, and a broad smile."
0/5232,"A fractal representation of fire with intricate, swirling patterns of bright orange and yellow flames."
31/11573252,"The sky is filled with vibrant orange and red hues, depicting a beautiful sunset with silhouettes of wind turbines in the foreground."
87/34534747,"A woman in a white robe is lying on a bed, looking at her smartphone while a laptop is open in front of her."
9/3830549,"The sunset over the ocean is pink, with the sun low on the horizon and the sky reflecting soft pink hues on the water."
139/1027379564,"A drummer is playing a drum set, with hands positioned on the drums."
34/12789065,A person stirring squid in a frying pan.
2/959950,"A small prison cell with a barred window, a bed, and a toilet."
71/27868081,"A field of tall, lush green grass swaying gently in the wind."
65/25587719,A butterfly is perched on a white blossom of a flowering tree branch against a blue sky.
161/1038012641,"A man in a white blazer is seated at a table, gesturing while speaking to another person."
31/11578064,A motorcyclist riding through a field at sunset.
73/28837975,A close-up view of a turntable with a vinyl record on the platter and a tonearm positioned above.
110/1015352323,A male and female deer are grazing together in a forested area.
124/1021059529,"A man sitting at a table in a modern café, holding a tablet in his hands, wearing a light blue striped shirt."
50/19165150,"An elderly woman lying on a couch, using a computer."
96/1009652447,"The sun is setting over a beach, casting golden light on the sand and reflecting off the waves."
2/1161217,A field of green grass under a blue sky with some clouds.
177/1048181725,A simple image depicting a bed with a sleeping figure.
10/4142023,"The word 'fire' is depicted in a stylized manner, embodying the concept of fire with glowing letters surrounded by a warm aura."
16/6195947,"Three fresh cherries are stacked on a wooden surface, with one cherry cut in half, revealing its inner seed. The cherries are glistening with water droplets, suggesting freshness, against a blurred green background."
83/32798707,A caterpillar is crawling along the side of a shoe.
23/8651461,"An image of money, such as bills or coins, is displayed."
14/5545847,Kites are flying in the blue sky above a skier on a snowy slope.
107/1014158354,"A basket filled with a red apple, a green apple, a yellow apple, and an orange apple."
157/1035905777,"The city skyline is illuminated at night, showcasing the high-rise buildings against a dark sky."
179/1049567080,A palm tree with a tall trunk and green fronds extends into the frame against a clear blue sky.
55/21484192,"The man is lying in bed, shirtless, holding a smartphone in his hand."
3/1517011,The line graph is depicted in red with a black arrow at the end pointing upwards.
8/3579164,The image shows a collection of colored crystalline stones scattered across a light-colored surface.
5/2525405,"A group of cows grazing in a green field, including a young cow with a light brown and white coat in the foreground and three more cows in the background."
125/1021750429,A collection of various colorful shells scattered on a sandy beach.
22/8415949,"The ocean scene is depicted on a cloudy day, with soft waves rolling onto the shore under a gray sky."
109/1014829330,"A woman is sitting at a cafe table, holding a smartphone and looking at it."
103/1012237151,"An abstract representation of water with soft, swirling patterns in light colors."
83/32770723,"A woman sitting on a train, holding a yellow smartphone in her hands."
11/4435526,A grasshopper with a brownish body is resting on a green leaf.
53/20418898,A close-up view of a pair of lips.
125/1021811545,"A bowl filled with small, light-colored grains of couscous."
144/1029940154,A blue sedan car is driving along a road with a driver inside.
188/1055902163,Three white juggling rings are shown in motion against a smoky gray background.
1/747811,"The meat is sizzling and cooking on the grill, with smoke rising around it."
130/1023642520,"A person stands in the rain, expressing anger with dynamic arm movements."
33/12426962,A single steak is displayed on a wooden cutting board.
79/31029739,"A sunset over a calm lake, with the sun setting on the right side and colorful reflections on the water."
135/1025807636,"A majestic mountain silhouette against a vibrant sunset sky filled with purple, orange, and pink hues, with tall grasses and a dark tree in the foreground."
35/13448567,"The image features a soft, blurred background with a gradient of blue tones, and a layer of fluffy orange clouds at the bottom."
21/7784851,"Several small goldfish are swimming in a clear glass bowl filled with water, surrounded by bubbles."
83/32655175,"The volcanic landscape is illuminated by a vibrant sunset, casting warm hues of orange and red across the sky and highlighting the volcanic cone."
60/23551555,"A black dress shoe is positioned on a textured surface, with a dress tie visible nearby."
82/32141812,A teenager in festive attire is holding a gift box in front of a decorated Christmas tree.
116/1017564853,The man is standing with his hands covering his mouth.
116/1017744202,An apple tree with ripe red apples hanging among lush green leaves.
2/994351,"A worker in a factory setting is holding a tool and engaged in metalwork, surrounded by machinery and industrial equipment."
144/1029721787,"A young man with short brown hair is standing with his back to the camera, wearing a colorful tie-dye tank top with red, yellow, and black patterns."
113/1016561620,"A waterfall cascading down rocks surrounded by lush green foliage, set against a mountainous backdrop."
135/1025990402,"A person in a light blue denim jacket is taking a selfie with a smartphone, making a peace sign with one hand."
36/13787129,"A digital loading screen with a green progress bar indicating 50% completion, with the word 'LOADING' in red and 'BUSINESS' in yellow below the bar, set against a background of abstract business graphs and charts."
11/4408283,"A brown and white pony stands in a dusty, dry meadow with sparse grass."
29/10937681,"A young man is reclining in a hammock on a porch, holding a smartphone."
130/1023765604,A girl wearing a green sweater and a patterned headscarf is standing next to a tree in a natural setting.
184/1052977160,A close-up of a green flower cluster with numerous small yellow stamens and a generic insect perched on one of the flower heads.
88/34752721,"A woman sitting in the driver's seat of a car, using a map."
2/1155070,"The stream is covered with a layer of snow, and the rocks are blanketed in white, creating a winter landscape."
188/1055724455,"A man is sitting at a table in a cafe, using a tablet."
150/1032700232,A woman holding a tablet while standing in a cozy home environment.
8/3538496,"A dictionary entry for the word 'help,' highlighting its definition and usage as a resource for understanding assistance."
170/1043575717,A mysterious forest scene with a calm water body surrounded by lily pads and dense trees.
59/22932865,"A glass jar filled with dollar bills and coins, labeled 'WEDDING' in bold letters, placed on a wooden surface next to a decorative model sailboat and an old-fashioned camera."
0/120505,The image features vibrant green shapes swirling against a black background.
28/10652987,A footpath winding through a lush green landscape with trees on either side.
152/1033379012,"A field of sunflowers in bloom under the soft light of sunrise, with the sky displaying gentle hues of pink and blue."
77/30430411,"A silhouette of a woman standing by a window, looking out at a balcony of an apartment building."
43/16448704,"A brown glass beer bottle with water droplets on its surface, standing upright on a flat surface."
141/1028274083,"The image shows ocean waves crashing onto a sandy beach during sunset, with warm hues of orange and pink reflecting on the water."
125/1021706047,"A tall dead tree with bare branches and a rough, lifeless trunk against a bright sky."
22/8157226,"The Colosseum in Rome is illuminated at night, with a dark sky and stars visible."
114/1016857417,A black dumbbell resting on a gray podium.
37/14148074,A male healthcare professional is using a stethoscope to check the heart of a young girl in a hospital.
14/5425148,A web-like structure formed by interconnected bright circular lights in shades of orange and white.
78/30611560,A serene lake surrounded by green hills and mountains under a blue sky with fluffy white clouds.
19/7145809,A woman in a dark suit with a light-colored shirt and a patterned tie is holding a mobile phone to her ear.
66/25991411,"A father from an indigenous tribe in the Amazon is embracing a child in a lush, tropical setting."
7/2902894,"A grassy field under a blue sky with fluffy white clouds, now featuring several trees scattered throughout the landscape."
92/1007845975,A black car is driving on a snowy path surrounded by tall trees in a forest.
32/12157619,"A woman sitting on a bed in a hotel room, wearing a white bathrobe, holding a smartphone to her ear and using a tablet."
92/1008029884,A large black wok on a stove with pieces of chicken being stirred with a slotted spoon.
61/23812597,"A three-dimensional sphere constructed from a network of glowing white points and lines, set against a dark background."
31/11735540,A man dressed in a black shirt and red tie is standing outdoors while looking at a tablet in his hands.
192/1058502724,"A man dressed in a white lab coat with a stethoscope around his neck, standing upright."
2/1300783,A person slices a tomato on a wooden cutting board.
75/29330350,"A glass of white wine is positioned on a wooden surface, with a bunch of red grapes nearby."
161/1038008783,"A modern kitchen with sleek cabinets, a countertop, and appliances."
111/1015665334,"The sky is filled with beautiful, fluffy clouds in soft colors, creating a serene and inviting atmosphere."
120/1019649784,A collection of shiny gold Christmas ornaments arranged closely together.
20/7522129,A serene water surface covered with floating water lilies in various colors.
14/5542268,"An alien figure in a running pose, with exaggerated features and a bright green background."
47/18170470,The garden now features rows of orange tulips alongside blooming roses in various colors.
18/6902305,A male silhouette is playing the violin against a sunset backdrop.
188/1055565662,A mountainous landscape with lush green vegetation at the base.
8/3596072,A field of vibrant red poppy flowers under the sun.
25/9365273,The image shows an orange tree with numerous ripe oranges hanging from its branches.
131/1024156187,A small glass bottle filled with brown liquid is placed on a wooden surface next to three purple thistle flowers.
57/22186810,A person's hand reaching towards various goods displayed on a shelf.
27/10277297,The image shows a garden filled with white iris flowers surrounded by green stems and leaves.
95/1009300430,A person holding a wrench against a bright green background.
21/7975663,"The image shows a sequence of glowing purple binary numbers, zeros and ones, flowing across a dark blue background."
46/17590120,An awning providing shade over a space.
52/20229217,A close-up of a shiny red tomato being injected with a syringe.
2/954577,A barbecue grill filled with pieces of marinated chicken cooking over an open flame.
19/7108045,"A close-up of a camel's head, showcasing its long neck and prominent hump."
25/9236801,Two wooden blocks with the letters 'E' and 'X' symbolize the concept of being built from love.
41/15726946,"A tropical beach at sunset, featuring palm trees and vibrant foliage, with the sun setting over the water."
149/1031948516,The woman has green eyes.
54/20911057,"The word 'gluten' is written in flour on a surface, with a wooden spoon and a bowl containing a raw egg nearby."
191/1058127730,A mother and daughter are cooking together in a bright kitchen.
97/1009837916,"The woman is sitting outdoors at night, holding a smartphone with a dark background illuminated by soft artificial lights."
133/1025119754,"A silhouette of a person stretching with arms extended upward against a dark background, illuminated by light radiating from behind."
17/6340010,"A policeman in uniform is standing barefoot on a plain white background, looking upwards while holding a sign that reads 'Help!'."
56/21800890,"Close-up view of bamboo leaves swaying in the wind, with a blurred background of a lush green field."
41/15732667,"The image shows waves gently lapping against a sandy beach, with turquoise water and white foam at the shoreline."
4/2004833,"An ember glows softly from a crevice in a rocky surface, surrounded by dark ash."
2/1329841,Frame extraction failed
21/7693903,"A close-up view of vibrant autumn leaves in shades of orange, yellow, and red covering the ground in a forest."
12/4757558,"A person in an orange wetsuit is underwater, reaching towards the surface, with a rock visible on the seabed."
137/1026706859,A polished progress bar shows 'Modifying: 82 %' with a vibrant blue fill and a smooth gray background.
136/1026201725,A wall being painted in shades of orange with a paint roller in motion.
44/17027146,"A depiction of two celestial bodies in close proximity, resembling a contact binary star system."
52/20187091,"The image features the word 'INTERNET' in a bold, professional font at the center, surrounded by smaller business-related terms like 'INNOVATION,' 'MEDIA,' 'NETWORK,' and 'MARKETING' in a cohesive, formal typography style."
8/3485909,A white lotus flower is blooming in a basin of water surrounded by green lily pads.
12/4703375,"The pond is surrounded by lush green trees and colorful flowers, reflecting a bright blue sky, creating a lively summertime atmosphere."
36/13710038,"A person is diving into a clear blue pool, creating splashes of water around them."
85/33548137,"A man stands in a dimly lit environment, illuminated softly."
143/1029504995,Rooftops in Rome with several trees added among the buildings.
0/356806,"A stack of euro banknotes tied with a red ribbon, prominently displaying a 5 euro note."
59/23018245,"A woman with a muscular build is standing in a dark environment, pointing with one hand while the other hand is partially visible. Red light patterns are projected onto her arm."
78/30625456,"A man is sitting on a bench in a grassy area, dressed in a light blue shirt and dark pants, holding a smartphone."
66/26047424,"A weathered wall with a target design featuring the word 'taxation' in the center, surrounded by financial symbols and motifs."
103/1012299002,"A person relaxing in a bathtub, holding a tablet in their hand."
21/7775035,A scenic landscape with a snow-capped mountain in the background and a field of golden grass dotted with grazing sheep.
47/18022699,"A digital interface with a college theme, featuring the word 'SEARCHING' in red, a green progress bar at 50%, and a yellow 'SUPPORT' button, surrounded by academic symbols like books and graduation caps."
147/1031055680,"A collection of bright green oak leaves on a tree, illuminated by sunlight against a clear blue sky."
44/16719913,"A human figure with a transparent body showing the circulatory system, with red arteries and blue veins prominently displayed against a black background."
107/1013894717,A glass filled with rainwater.
191/1058109880,A person is mixing vibrant oil paint colors on a wooden palette with a metal palette knife.
81/31991182,A person sitting on a rug is using tweezers to groom their arm.
42/16245754,A close-up of a microphone.
57/22241656,"A series of yellow spheres arranged in a gradient pattern on a light gray background, varying in size from small on the left to large on the right."
2/1160953,"A howler monkey is sitting on a branch of a tree, eating fruit."
35/13109273,"The image shows a scattering of small, glowing red particles against a black background."
31/11652611,A young girl in a pink jacket is playing with a brown Labrador Retriever dog in a vibrant spring setting with blooming flowers and green grass.
7/3162415,"The image features a dark background with a gradient of yellow hues, showcasing subtle hexagonal patterns and soft light effects, including streaks of light and small sparkles."
1/493507,"A pair of rich red velvet stage curtains draped elegantly with golden trim, set against a dark background."
58/22823620,The sign reads 'SOLDES' in bright red letters.
85/33434743,"The image shows vibrant green and purple waves flowing in a dynamic, abstract pattern."
14/5443919,"The ocean is now filled with waves, creating a dynamic and lively scene."
21/7838992,"A man in a light-colored suit and blue shirt is sitting at a desk with a laptop, gesturing as if engaged in a conversation."
70/27535411,A small brown snail is floating on the surface of water.
120/1019395435,"The word 'TRAINING' is displayed in bold, glowing letters, surrounded by a network of colorful lines and geometric patterns, set against a dark background."
35/13139150,The image features a blurred background filled with circular bokeh lights in shades of blue against a dark backdrop.
17/6600242,A lush green rice field with water-filled paddies.
186/1054609730,"A man stands at a window, partially obscured by green ivy, wearing a light blue shirt and holding a pink mug."
72/28155007,A close-up view of white paper strips tied to a wooden structure.
84/33312940,A camera icon is displayed in the center of a digital screen with a light blue pixelated background.
0/121549,"A hot air balloon is being prepared for flight on the ground, with crew members and equipment visible."
92/1007862214,"A desktop computer setup with a monitor, keyboard, and mouse on a wooden desk."
127/1022396503,A multitude of black basketballs scattered closely together.
150/1032500867,A woven basket filled with ripe red cherries.
27/10190159,A vast field filled with bright yellow flowers under a clear blue sky.
97/1010067617,A butterfly is hovering among the orange and yellow flowers in a vibrant field.
112/1016082832,"A doctor stands in a clinical setting holding a holographic display with terms related to asthma, including 'ASTHMA,' 'BRONCHIAL,' 'INHALER,' and 'ALLERGY.'"
177/1047594091,"A face is prominently featured in the center of the image, surrounded by a soft, warm background."
11/4550585,"A flowing river winds through a wooded area, bordered by trees and grass."
81/32098774,"A group of small, brownish-gray mice foraging on the ground."
19/6998872,"Two pieces of chicken are being grilled on a barbecue, with smoke rising around them."
46/17784820,"The river is surrounded by lush green trees under a bright blue sky, reflecting a lively summer atmosphere."
