target,tar_desc,enriched_desc
2/1233361,"A young boy sitting in a director's chair, wearing a red sweater and headphones. He is holding a game controller and appears to be playing a video game. A stuffed toy horse is placed beside him on the chair. The background is a plain white wall with a window covered by blinds.","[""Boy in red sweater playing video games"", ""Young boy wearing headphones and red sweater"", ""Game controller held by boy in red sweater"", ""Stuffed toy horse beside boy in red sweater"", ""Director's chair occupied by boy in red sweater"", ""Boy in red sweater sitting in director's chair"", ""Red sweater worn by boy playing video games"", ""Boy in red sweater holding game controller"", ""Boy in red sweater with stuffed toy horse"", ""Boy in red sweater sitting in director's chair""]"
24/8870224,"A man wearing a beanie and a leather jacket is walking down a street, smiling and interacting with someone off-camera.","[""Man in beanie and leather jacket on the street"", ""Smiling man walking and interacting off-camera"", ""Man wearing beanie and leather jacket on the street"", ""Street scene with man in beanie and leather jacket"", ""Man in beanie and leather jacket walking down the street"", ""Man smiling and interacting with someone off-camera"", ""Man in beanie and leather jacket on the street"", ""Man wearing beanie and leather jacket on the street"", ""Man in beanie and leather jacket walking down the street"", ""Man in beanie and leather jacket on the street, smiling""]"
104/1012777667,"A young man appears stressed or depressed, holding his head with one hand and looking distressed.","[""Young man looks distressed, holding head"", ""Man appearing depressed, hand on forehead"", ""Stressed young man, hand on head"", ""Depressed man, head held low"", ""Man looks distressed, hand supporting head"", ""Depressed young man, hand on face"", ""Stressed man, hand on head"", ""Man appears depressed, hand near face"", ""Depressed young man, hand on head"", ""Stressed man, hand supporting head""]"
33/12631412,"The sun is positioned low on the horizon, casting a warm golden light across the rugged terrain. The sky is a gradient of soft oranges and yellows, transitioning from the deep blue of the upper sky to the vibrant hues near the sun. Silhouettes of distant mountains and valleys are visible against the backdrop of the setting sun, creating a tranquil and majestic scene. The foreground features a grassy slope leading towards the sun, with subtle textures and shadows adding depth to the landscape. The overall atmosphere is peaceful, with the gentle glow of the sun illuminating the scene.","[""Sunset over rugged terrain with grassy slopes"", ""Golden hour light illuminates mountain silhouettes"", ""Gradual transition of sky colors at sunset"", ""Tranquil scene with distant mountain silhouettes"", ""Warm glow of sunset casts shadows on grass"", ""Vibrant sunset hues over the landscape"", ""Silhouetted mountains against the setting sun"", ""Peaceful atmosphere with glowing sun"", ""Gentle sunset light on grassy slopes"", ""Distant mountains framed by sunset glow""]"
26/9676700,"A raw steak garnished with a sprig of rosemary and a small blueberry, with no visible signs of seasoning.","[""Steak garnished with rosemary and blueberry"", ""Unseasoned steak with herbs and berries"", ""Raw steak with rosemary and blueberry garnish"", ""Garnished steak with rosemary and blueberry"", ""Steak with rosemary and blueberry topping"", ""Unseasoned steak with herb and berry"", ""Steak garnished with rosemary and blueberry"", ""Raw steak with rosemary and blueberry"", ""Garnished steak with rosemary and blueberry"", ""Steak with rosemary and blueberry garnish""]"
78/30798118,"A basketball spinning under bright stage lights, emitting blue light trails and sparks around it.","[""Basketball spinning under bright lights"", ""Blue light trails around a spinning basketball"", ""Spinning basketball emitting sparks"", ""Basketball under bright stage lights"", ""Basketball spinning with blue light trails"", ""Basketball spinning amidst blue light trails"", ""Basketball spinning with sparks around"", ""Spinning basketball with blue light effects"", ""Basketball spinning with blue light and sparks"", ""Basketball spinning under bright lights with sparks""]"
107/1014214022,"A mountain goat family grazing on a rocky hillside, with an imaginative addition of a child interacting playfully with the goats.","[""Kid interacts with mountain goat family"", ""Playful child among grazing goats"", ""Child plays with goats on rocky hillside"", ""Goats graze as child joins in fun"", ""Mountain goat family with playful child"", ""Grazing goats with imaginative child"", ""Child joins goats on rocky hillside"", ""Goats and child share a playful moment"", ""Imaginative scene of child with goats"", ""Child and goats on a rocky hillside""]"
87/34433101,"A man sitting at a table in a cozy café, wearing a black hat and glasses, holding a smartphone.","[""Man in black hat and glasses at the table"", ""Cozy café scene with man holding phone"", ""Man wearing black hat and glasses at table"", ""Man with smartphone in cozy café setting"", ""Black hat and glasses man seated at table"", ""Man holding phone in café with plant"", ""Man in black hat and glasses at table with cup"", ""Man with smartphone in café with plant"", ""Man wearing black hat and glasses at table"", ""Man with phone in cozy café with plant""]"
14/5496923,"Water droplets on a reflective surface, capturing their distorted shapes and sizes to simulate reflections.","[""Water droplets reflecting on glass surface"", ""Glass captures droplets' distorted reflections"", ""Droplets mirror on reflective glass"", ""Glass reflects droplets' distorted shapes"", ""Droplets' reflections on glass surface"", ""Glass mirrors droplets' distorted forms"", ""Droplets' distorted reflections on glass"", ""Glass captures droplets' distorted images"", ""Droplets' reflections on glass surface"", ""Glass reflects droplets' distorted sizes""]"
4/1925758,"A family of three is sitting on a couch, engaging with a laptop device. The father and mother are seated on either side of their young son, who is holding the laptop. They appear to be interacting with the device, possibly playing a game or watching something together. The room is well-lit, with a modern and cozy interior design, featuring a white sofa, a yellow cushion, and a white shelf in the background.","[""Family using laptop on the couch"", ""Parents and child with laptop on the couch"", ""Laptop interaction between family members"", ""Sitting on couch with laptop device"", ""Family engaged with laptop on the couch"", ""Parents and child with laptop on the sofa"", ""Laptop use by family on the couch"", ""Family on couch with laptop device"", ""Parents and child using laptop on the couch"", ""Laptop shared by family on the couch""]"
137/1026678305,Almonds falling onto a textured surface against a dark background.,"[""Almonds falling on a textured surface"", ""Dark background with almonds on a surface"", ""Textured surface with almonds against black"", ""Almonds on a dark textured surface"", ""Dark backdrop with almonds on a surface"", ""Surface with almonds against a dark background"", ""Dark background with almonds on textured surface"", ""Almonds on a dark textured surface"", ""Dark backdrop featuring almonds on a surface"", ""Textured surface with almonds in a dark setting""]"
147/1031097719,"Grey herons are captured in flight and nesting behavior against a clear blue sky. The herons display their long legs and curved beaks as they soar gracefully through the air and later settle onto their nests constructed from twigs and branches. The herons are seen interacting with each other within these nests, showcasing their social behavior.","[""Grey herons flying and nesting in blue sky"", ""Herons in grey hues against clear blue sky"", ""Graceful grey herons soaring and nesting"", ""Grey herons displaying long legs and curved beaks"", ""Herons in grey tones interacting in nests"", ""Grey herons in flight and nesting behavior"", ""Long-legged grey herons in blue sky"", ""Grey herons nesting and interacting in nests"", ""Herons in grey shades against blue sky"", ""Grey herons soaring and settling in nests""]"
100/1011193961,"The protest march continues with some participants riding bicycles alongside those walking, holding signs and banners.","[""Marchers ride bicycles amidst protesters"", ""Protesters with signs and bicycles on the street"", ""Bicycles join the protest march with signs"", ""Marching with signs and bicycles on the street"", ""Protesters continue with bicycles and signs"", ""Street protest with bicycles and signs"", ""Marching with signs and bicycles on the street"", ""Protesters riding bicycles during the march"", ""Street demonstration with bicycles and signs"", ""Marching with signs and bicycles on the street""]"
20/7666114,"A squirrel sitting on a tree branch in autumn, with leaves on the tree and a clear blue sky in the background.","[""Squirrel on autumn tree branch"", ""Autumn leaves and squirrel on branch"", ""Squirrel in fall foliage setting"", ""Squirrel perched on autumn branch"", ""Autumn scene with squirrel on branch"", ""Squirrel amidst fall colors"", ""Squirrel in autumnal tree"", ""Autumn squirrel on branch"", ""Squirrel in fall tree setting"", ""Squirrel on autumn branch with leaves""]"
141/1028350556,"The man is sitting on a couch in a living room, using a laptop with a green screen. He is wearing casual clothing and appears relaxed. The room is well-lit, with a rug on the floor, a side table with a lamp, and some books and plants nearby. The man occasionally interacts with the laptop, tapping and swiping on the screen.","[""Man uses laptop on couch in living room"", ""Relaxed man works on laptop at home"", ""Casual setting with man on couch using laptop"", ""Living room scene with man on couch and laptop"", ""Man sits on couch, using laptop with green screen"", ""Comfortable workspace with man on couch and laptop"", ""Man in casual clothes uses laptop on couch"", ""Laptop use on couch in cozy living room"", ""Man on couch with laptop, surrounded by books and plants"", ""Man relaxing on couch with laptop in view""]"
39/14833330,A clear blue sky with scattered clouds is visible through a window.,"[""Birds flying against a blue sky through a window"", ""Scattered clouds seen through a window with a bird"", ""Window view of a blue sky with clouds and a bird"", ""A bird perched on a branch outside a window with clouds"", ""Clouds and a bird visible through a window with a blue sky"", ""Window frame showing a bird and clouds in a blue sky"", ""A bird flying by a window with a blue sky and clouds"", ""Birds and clouds captured through a window with a blue sky"", ""A bird and clouds seen through a window with a blue sky"", ""Window view of a blue sky with clouds and a bird flying""]"
178/1048801957,"An elderly woman is shopping in a grocery store and carefully selects apples from a display, examining them before placing them in her cart.","[""Elderly woman picks apples in the store"", ""Woman examines apples before adding to cart"", ""Careful selection of apples by the elderly shopper"", ""Grocery store scene with apple-picking"", ""Woman selects apples, places in cart"", ""Senior shopper inspects apples for purchase"", ""Apple selection process in the market"", ""Woman carefully chooses apples for her groceries"", ""Elderly shopper selects fresh apples"", ""Woman examines apples before putting in cart""]"
29/10916618,"A male runner with curly hair wearing a purple tank top and earphones, standing outdoors in a park-like setting with lush greenery and trees in the background. He appears to be taking a break from running, resting his hands on a railing and looking off into the distance. The lighting suggests it is either early morning or late afternoon, with warm sunlight filtering through the trees. His expression is calm and content, and he seems to be enjoying the peaceful surroundings.","[""Male runner with curly hair in a park"", ""Man with earphones resting in a park"", ""Male runner taking a break in nature"", ""Curly-haired man in a park with earphones"", ""Male runner enjoying the park's tranquility"", ""Man with earphones in a lush park"", ""Male runner resting in a serene park"", ""Man with earphones in a park-like setting"", ""Male runner with earphones in a green park"", ""Man with earphones relaxing in a park""]"
122/1020439744,"A mountain sunrise with a cool blue and pink sky, silhouettes of trees, and a distant figure standing near a tree, bathed in the soft light of the rising sun.","[""Mountain sunrise with cool blue and pink sky"", ""Sunrise over mountains with silhouetted trees"", ""Distant figure near tree at sunrise"", ""Mountain peak bathed in soft sunrise light"", ""Cool blue and pink sky at sunrise"", ""Silhouettes of trees against sunrise backdrop"", ""Person standing by tree at sunrise"", ""Mountain sunrise with distant figure"", ""Soft sunrise light on distant figure"", ""Cool blue and pink sky with tree silhouettes""]"
126/1021901929,Swans grazing on the grass near a body of water.,"[""Swans feeding on the grass by the water"", ""Gentle swans grazing near the water"", ""Swans resting on the grass beside the water"", ""Swans enjoying the grass near the water"", ""Swans feeding on the grass near the river"", ""Swans relaxing on the grass by the water"", ""Swans grazing on the grass near the lake"", ""Swans resting on the grass by the pond"", ""Swans feeding on the grass near the stream"", ""Swans enjoying the grass near the riverbank""]"
123/1020729385,"A search process for love is depicted, with a progress bar increasing from 0% to 100%. The background remains consistent with digital elements, but the text changes from 'BANK' to 'LOVE', indicating a shift in the search topic from financial to personal.","[""Progressing towards love with a digital search"", ""Love search progresses from bank to heart"", ""From financial to personal: love search"", ""Digital love search with a progress bar"", ""Search for love shifts from bank to heart"", ""Love search increases from 0% to 100%"", ""Progressing love search with digital elements"", ""Love search transitions from bank to heart"", ""Digital love search with a progress bar"", ""Love search increases from 0% to 100%""]"
54/20989960,"The couple walks hand-in-hand along a narrow strip of sand, then they share a kiss before continuing towards the water.","[""Couple shares a kiss on the beach"", ""Kiss shared by lovers on sandy shore"", ""Lovers embrace and kiss near the ocean"", ""Beach stroll ends with a passionate kiss"", ""Kiss between lovers amidst sand and sea"", ""Romantic moment captured on sandy beach"", ""Kiss shared by couple on the oceanfront"", ""Lovers' kiss on the beach near the water"", ""Passionate kiss on the sandy beach"", ""Kiss between lovers on the beach""]"
77/30252547,A squirrel is seen climbing along a tree branch in a forested area.,"[""Squirrel climbs along tree branch in forest"", ""Forest scene featuring a climbing squirrel"", ""Squirrel navigating tree in wooded area"", ""Tree-climbing squirrel in a forest setting"", ""Squirrel exploring branches in a forest"", ""Forest squirrel climbing a tree"", ""Squirrel's journey up a tree in nature"", ""Squirrel climbs tree in a forested environment"", ""Forest squirrel navigating tree branches"", ""Squirrel climbs tree in a wooded landscape""]"
23/8652898,"A red coffee cup is filled with coffee, and the liquid swirls and reflects in a kaleidoscopic pattern, creating a mesmerizing and colorful effect.","[""Kaleidoscopic coffee swirls in a red cup"", ""Mesmerizing coffee in a kaleidoscopic cup"", ""Red cup filled with swirling kaleidoscopic coffee"", ""Kaleidoscopic reflection in a red coffee cup"", ""Colorful coffee swirls in a red cup"", ""Kaleidoscopic coffee in a red cup on a table"", ""Red cup with kaleidoscopic coffee swirls"", ""Kaleidoscopic coffee in a red cup on a table"", ""Mesmerizing coffee in a red cup with kaleidoscopic swirls"", ""Kaleidoscopic coffee swirls in a red cup on a table""]"
137/1026513920,"A winter forest scene with snow-covered trees and a cold, muted blue sky.","[""Snowy forest with blue sky backdrop"", ""Winter wonderland with muted blue skies"", ""Trees covered in snow against a cold sky"", ""A serene winter scene with snow and blue sky"", ""Winter landscape with snow-covered trees"", ""Blue sky and snowy trees create a winter scene"", ""Cold winter day with snow and blue sky"", ""A tranquil winter forest with snow and blue sky"", ""Snowy trees and blue sky in a winter setting"", ""Winter scene with snow and cold blue sky""]"
24/8940361,A Saint Bernard dog sitting on a snowy ground in a snowy environment.,"[""Saint Bernard dog in snowy yard"", ""Dog sitting on snow-covered ground"", ""Snowy scene with Saint Bernard dog"", ""Dog resting in a snowy environment"", ""Saint Bernard in a snowy landscape"", ""Dog sitting on snow in a yard"", ""Snowy day with Saint Bernard dog"", ""Dog in a snowy outdoor setting"", ""Saint Bernard dog in a snowy yard"", ""Dog sitting on snow in a yard""]"
82/32370388,The couple in the boat share a kiss.,"[""Couple in boat shares a kiss"", ""Romantic moment on the water"", ""Kiss shared by couple in boat"", ""Boat ride turns intimate"", ""Lovers embrace on the water"", ""Kissing couple on the river"", ""Romantic scene in the boat"", ""Boat journey ends with a kiss"", ""Couple's kiss on the water"", ""Water adventure turns into romance""]"
1/879025,"The woman performs a series of abdominal exercises, transitioning from lying down to a plank position, executing a push-up, and then returning to lying down.","[""Woman does push-up on exercise mat"", ""Abdominal workout transitions to push-up"", ""Woman performs push-up on mat"", ""Exercise routine includes push-up"", ""Push-up exercise on the mat"", ""Woman transitions to push-up position"", ""Workout sequence includes push-up"", ""Push-up on exercise mat during workout"", ""Woman executes push-up during exercise"", ""Push-up transition in workout routine""]"
47/17852158,"A frozen stream with ice covering its surface, surrounded by snow-covered ground and rocks.","[""Stream turns into icy surface"", ""Frozen water meets snowy landscape"", ""Ice covers the stream's flow"", ""Rocky terrain surrounded by frozen water"", ""Snow-covered ground with icy stream"", ""Ice forms on the water's surface"", ""Frozen stream with rocky surroundings"", ""Water transforms into ice"", ""Ice covers the stream's surface"", ""Frozen water meets rocky terrain""]"
145/1030269029,"The fire is now accompanied by small, bright sparkles that dance around the flames, adding a magical touch to the scene.","[""Fire with dancing sparks illuminating the night"", ""Small bright sparkles dance around the flames"", ""Magical fire with sparkling embers"", ""Sparkling fire adds a mystical touch"", ""Dancing sparks enhance the fiery scene"", ""Fire with shimmering sparkles"", ""Sparkles dance around the flames"", ""Fire with magical sparkling embers"", ""Sparkling fire creates a mesmerizing effect"", ""Dancing sparks light up the fire""]"
91/1007374501,"Colorful ribbons in shades of blue, orange, teal, and brown, overlapping and intersecting in a dynamic and fluid arrangement.","[""Colorful ribbons dance across the screen"", ""Ribbons in various hues flow dynamically"", ""Intersecting ribbons create a vibrant display"", ""Shades of blue, orange, teal, and brown intertwine"", ""Fluid ribbons overlap in a colorful arrangement"", ""Dynamic ribbons in a fluid motion"", ""Overlapping ribbons in a lively pattern"", ""Vibrant ribbons in a colorful composition"", ""Ribbons in shades of blue, orange, teal, and brown"", ""A fluid arrangement of ribbons in multiple colors""]"
107/1014229094,"The sunflowers are in full bloom, showcasing their vibrant yellow petals and lush green leaves against a backdrop of a clear blue sky.","[""Sunflowers in full bloom against a blue sky"", ""Vibrant sunflowers with lush green leaves"", ""Yellow petals and green leaves under a clear sky"", ""Blossoming sunflowers with a serene backdrop"", ""Full-bloom sunflowers with a blue sky above"", ""Sunflowers showcasing their petals and leaves"", ""A scene of sunflowers with a clear blue sky"", ""Vibrant sunflowers with lush green foliage"", ""Sunflowers in bloom with a blue sky overhead"", ""Full-bloom sunflowers with a serene sky""]"
125/1021822825,"A computer keyboard with a different color scheme, such as a white keyboard with green lettering.","[""A white keyboard with green lettering"", ""Keyboard with a green and white color scheme"", ""Green lettering on a white keyboard"", ""White keyboard featuring green lettering"", ""A keyboard with a green and white design"", ""Keyboard with green lettering and white keys"", ""Green lettering on a white keyboard surface"", ""A white keyboard with green text"", ""Keyboard with green lettering and white keys"", ""A white keyboard with green lettering details""]"
156/1035641786,A woman working on a motorcycle engine in a garage.,"[""Woman works on motorcycle engine in garage"", ""Mechanic tends to motorcycle engine indoors"", ""Garage scene with woman and motorcycle engine"", ""Woman repairs motorcycle engine in workshop"", ""Mechanical work on motorcycle engine by woman"", ""Indoor setting shows woman working on motorcycle"", ""Woman focuses on motorcycle engine in garage"", ""Woman's hands on motorcycle engine in workshop"", ""Garage environment with woman and motorcycle engine"", ""Woman's attention on motorcycle engine in indoor space""]"
8/3461039,A human figure standing upright against a black background.,"[""Human figure with skin instead of skeleton"", ""Skin-covered figure standing upright"", ""Human form without skeleton"", ""Body with skin rather than bones"", ""Skin replaces skeleton in human figure"", ""Human figure with flesh instead of bones"", ""Skin replaces skeleton in upright pose"", ""Human body with skin instead of skeleton"", ""Skin replaces bones in human figure"", ""Human form with skin instead of skeleton""]"
123/1020607588,"A Christmas tree adorned with twinkling lights, creating a festive and warm atmosphere.","[""Festive tree decorated with twinkling lights"", ""Christmas tree illuminated by decorative lights"", ""Warm holiday scene with twinkling lights"", ""Decorated tree with glowing lights"", ""Festive atmosphere with twinkling lights"", ""Tree adorned with twinkling holiday lights"", ""Glowing lights on a decorated tree"", ""Twinkling lights on a festive tree"", ""Decorative lights on a Christmas tree"", ""Tree decorated with twinkling holiday lights""]"
21/8002627,A series of frames showing a dynamic yellow milk splash against a yellow background.,"[""Dynamic yellow milk splash on yellow background"", ""Yellow milk splashes vividly against yellow backdrop"", ""Vibrant yellow milk splash on yellow background"", ""Yellow milk splashes dynamically on yellow background"", ""Yellow milk splashes brightly against yellow backdrop"", ""Yellow milk splashes vividly on yellow background"", ""Yellow milk splashes dynamically on yellow backdrop"", ""Yellow milk splashes vividly against yellow background"", ""Yellow milk splashes brightly on yellow backdrop"", ""Yellow milk splashes vividly on yellow background""]"
185/1053658661,"The video shows a stone wall with the word 'ARMY' written on it. Two arrows are embedded in the wall, pointing towards the center.","[""Arrows guide viewers to the army text"", ""Pointing arrows direct attention to 'ARMY'"", ""Two arrows lead to the 'ARMY' message"", ""Guiding arrows point toward the 'ARMY' text"", ""Arrows indicate the location of 'ARMY'"", ""Arrows direct focus to the 'ARMY' sign"", ""Arrows lead to the 'ARMY' inscription"", ""Arrows point to the 'ARMY' text on the wall"", ""Arrows guide viewers to the 'ARMY' message"", ""Arrows direct attention to the 'ARMY' text""]"
60/23378128,"The rose transitions from a tightly closed bud to a fully bloomed white flower, surrounded by green leaves against a dark background.","[""Rose blooms into a white flower"", ""White rose emerges from a bud"", ""Transition from rose bud to bloom"", ""Rose changes color to white"", ""White rose blossoms amidst green leaves"", ""Rose transforms from pink to white"", ""Bloom of a white rose"", ""Rose shifts from pink to white"", ""White rose blooms in the dark"", ""Rose transitions from pink to white""]"
10/4212871,"A stationary shot of a rocky terrain with a prominent white cross symbol on top, set against a backdrop of snow-capped mountains and a clear blue sky.","[""Rocky terrain with a white cross symbol"", ""Snowy mountain backdrop with a cross"", ""Prominent cross on rocky terrain"", ""White cross atop snowy mountains"", ""Rocky landscape with a cross"", ""Cross symbol on snowy peaks"", ""Stationary shot of a cross on rocks"", ""Rocky terrain with a cross in the snow"", ""Snowy mountains with a cross symbol"", ""Cross on rocky terrain with snow""]"
100/1011298304,"A blue signpost with the word 'Wealth' written on it, pointing to the right.","[""Blue signpost points to wealth"", ""Wealth sign directs to prosperity"", ""Right-pointing sign says 'Wealth'"", ""Money sign guides to success"", ""Signpost leads to financial gain"", ""Wealth signpost points right"", ""Right arrow on wealth sign"", ""Sign directs to financial success"", ""Wealth sign points to right"", ""Right signpost indicates wealth""]"
132/1024588784,A woman is cleaning a wooden floor inside a cabinet.,"[""Woman cleaning wooden floor in cabinet"", ""Cleaning wooden floor inside cabinet"", ""Woman wiping floor in cabinet"", ""Cabinet cleaning with wooden floor"", ""Woman cleaning wooden floor in cabinet room"", ""Woman wiping floor inside cabinet"", ""Cleaning wooden floor in cabinet space"", ""Woman cleaning floor in cabinet area"", ""Woman wiping wooden floor in cabinet"", ""Woman cleaning floor inside cabinet""]"
22/8363299,"A lotus flower with large, rounded petals and a yellow center, surrounded by dark green leaves.","[""Lotus flower with large petals and yellow center"", ""A blooming lotus surrounded by dark green leaves"", ""Rounded petals of a lotus flower"", ""Yellow center of a lotus flower with green leaves"", ""Lotus bloom with dark green foliage"", ""Large petals of a lotus flower"", ""A lotus with its distinctive yellow center"", ""Lotus flower with green leaves in the background"", ""Rounded petals of a blooming lotus"", ""Dark green leaves surrounding a lotus flower""]"
20/7515136,"A family of four, consisting of a father, mother, baby, and a son, is enjoying a day outdoors in a grassy field. The son is seen interacting with the family, adding a new dynamic to the scene.","[""Family enjoying a day in the grassy field"", ""A son joins his family on a sunny outing"", ""The son brings joy to the family gathering"", ""A day out with the family in the open field"", ""The son adds a playful element to the family scene"", ""A family of four enjoying nature together"", ""The son's presence enhances the family's outdoor experience"", ""A family moment captured in a grassy field"", ""The son's interaction brings warmth to the family scene"", ""A family of four enjoying a day in the field""]"
57/22337254,A sailboat gliding across the turquoise ocean under a bright blue sky.,"[""Sailboat sailing on the turquoise ocean"", ""Gliding sailboat on the ocean's surface"", ""A sailboat cruising across the ocean"", ""Turquoise ocean with a sailboat"", ""Sailboat under a bright blue sky"", ""Ocean sailboat journeying on calm waters"", ""Sailing on the turquoise ocean waters"", ""Bright blue sky above a sailboat"", ""A sailboat's serene ocean voyage"", ""Turquoise ocean with a sailboat sailing""]"
12/4818728,"The child's hands continue drawing a sun on a white sheet of paper, then transition to making a cube by adding straight lines and angles to form the geometric shape.","[""Child draws sun, then makes cube"", ""Drawing sun transitions to cube-making"", ""Sun drawing evolves into cube"", ""From sun to cube: creative process"", ""Child's hands create sun, then cube"", ""Transition from sun to cube"", ""Drawing sun shifts to cube formation"", ""Sun drawing leads to cube creation"", ""Child's hands draw sun, then cube"", ""Sun drawing turns into cube-making""]"
33/12398180,"A serene sunset with the sun partially hidden behind the horizon, transitioning into a calm sea with gentle waves and a clear horizon line.","[""Sunset fades into tranquil sea"", ""Sun sets over calm ocean waters"", ""Evening sun merges with sea horizon"", ""Sunset transitions into serene sea"", ""Sunset meets the peaceful sea"", ""Sunset turns to sea at horizon"", ""Sunset blends into sea view"", ""Sunset fades into sea landscape"", ""Sunset merges with sea horizon"", ""Sunset turns to sea at dusk""]"
190/1057619695,The flowers in the garden are now orange.,"[""Flowers in the garden turned orange"", ""Garden blooms now display vibrant orange hues"", ""Orange flowers brighten the garden scene"", ""A change in flower color to orange"", ""Garden flowers transformed into oranges"", ""Flowers in the garden now orange"", ""Vibrant orange flowers in the garden"", ""Flower colors changed to orange"", ""Garden flowers now orange"", ""Orange flowers in the garden""]"
199/1064966794,"A woman performs on stage in front of an audience, wearing a blue bikini-like outfit. The stage is illuminated with colorful lights, primarily red and purple hues. The audience is seated, watching her performance attentively. The stage setup includes musical instruments like drums and a microphone stand.","[""Woman performs in a blue bikini-like outfit on stage"", ""Audience watches as performer wears blue lingerie on stage"", ""Stage lights illuminate a woman in blue lingerie"", ""Blue lingerie-clad performer captivates the audience"", ""Colorful stage lights highlight a woman in blue lingerie"", ""Woman in blue lingerie performs in front of attentive audience"", ""Audience enjoys a performance by a woman in blue lingerie"", ""Stage setup features a woman in blue lingerie performing"", ""Woman in blue lingerie takes center stage during performance"", ""Audience watches as performer dons blue lingerie on stage""]"
11/4367432,"The video starts with a plain white screen. It then transitions to a black square with the words 'BREAKING' in bold white letters, surrounded by swirling purple and white energy effects. The square then expands to fill the screen, maintaining the same design. After a few seconds, the screen returns to a plain white background.","[""Breaking news transition with swirling energy"", ""Black square with bold 'BREAKING' text"", ""Expanding square with swirling energy effects"", ""White screen returns after energy display"", ""Transition from white to black with energy"", ""Bold 'BREAKING' text on black square"", ""Swirling energy effects around text"", ""Square expands to fill screen with energy"", ""Energy effects fade back to white screen"", ""Black square with 'BREAKING' text fades out""]"
50/19438651,"Boats are added to the turquoise waters, enhancing the coastal scenery.","[""Boats glide across turquoise waters"", ""Coastal scene enhanced by added boats"", ""Boats float on serene turquoise waters"", ""Boats bring life to the coastal landscape"", ""Turquoise waters now feature boats"", ""Boats add charm to the scenic view"", ""Boats enhance the tranquil coastal setting"", ""Boats bring movement to the tranquil waters"", ""Boats enrich the coastal scenery"", ""Boats glide across the turquoise sea""]"
134/1025457362,"Two women are standing together in a clothing store, smiling and posing for the camera. The background includes shelves with various products and clothing racks filled with garments.","[""Two women smile in a clothing store"", ""Women pose together in a shop"", ""Clothing store scene with two women"", ""Two ladies in a retail setting"", ""Smiling women in a store aisle"", ""Two women in a clothing store display"", ""Women standing in a retail environment"", ""Two women in a store with shelves"", ""Clothing store with two smiling women"", ""Two women in a retail space""]"
31/11663948,"A garden filled with purple asters in full bloom, densely packed and set against a black background.","[""Purple asters in full bloom on a black background"", ""Dense cluster of purple asters against dark backdrop"", ""Garden scene with vibrant purple asters"", ""Flowers in full bloom with a black background"", ""Purple asters densely packed in a garden"", ""Black background highlights purple asters in bloom"", ""A garden filled with purple asters in full bloom"", ""Vivid purple asters set against a dark background"", ""Flowers in full bloom with a stark black background"", ""Purple asters in a dense garden setting""]"
49/19045789,"A young woman with red hair and a beard sitting on a couch in a modern living room, holding a smartphone.","[""Young woman with red hair sits on the couch"", ""Red-haired woman holds her phone on the couch"", ""Modern living room with a woman on the couch"", ""Woman with a beard sits on the couch holding a phone"", ""Red-haired woman relaxing on the couch"", ""Woman with a beard and red hair on the couch"", ""Couch scene featuring a woman with red hair"", ""Woman with a beard and red hair on the couch"", ""Relaxed moment of a woman with red hair on the couch"", ""Woman with a beard and red hair holding a phone""]"
46/17633056,"A spider web covered in raindrops, shimmering under the light, set against a backdrop of lush green grass.","[""Spider web glistens with raindrops on grass"", ""Raindrops shimmer on spider web amidst grass"", ""Dewy spider web with raindrops on lush grass"", ""Shimmering raindrops on spider web near grass"", ""Spider web with raindrops reflecting on grass"", ""Raindrops on spider web with grass in background"", ""Glistening raindrops on spider web by grass"", ""Spider web with raindrops on grass in sunlight"", ""Raindrops on spider web with grass backdrop"", ""Shimmering raindrops on spider web near grass""]"
0/394396,"Daisies with delicate petals and a bright yellow center, set against a soft, blurred background of more daisies, with warm, golden lighting enhancing the natural beauty of the flowers.","[""Softly blurred daisies with golden lighting"", ""Delicate daisies with warm glow"", ""Daisies in soft focus with golden hues"", ""Golden daisies with blurred background"", ""Daisies glowing with warm light"", ""Soft daisies with golden radiance"", ""Daisies bathed in golden light"", ""Gentle daisies with warm ambiance"", ""Daisies with golden glow and soft blur"", ""Golden daisies in soft, blurred setting""]"
5/2502473,"A different insect or animal is introduced into the beehive, replacing the original bees.","[""A different insect replaces bees in the hive"", ""New creature takes over the beehive"", ""Insect invades the beehive"", ""Bees replaced by another creature"", ""Intruder enters the beehive"", ""New animal replaces bees in the hive"", ""Bee replacement by another creature"", ""Insect replaces bees in the hive"", ""Another creature takes over the beehive"", ""Intruder replaces bees in the hive""]"
94/1008673384,"The video showcases a close-up of colorful tulips arranged in a bouquet against a neutral background. The tulips are in various stages of bloom, with some fully open and others still closed. The petals are vibrant and varied in color, and the stems are green and slender. The lighting is soft, highlighting the delicate texture of the petals and the subtle variations in their hue.","[""Colorful tulips in a bouquet"", ""Vibrant tulips against a neutral backdrop"", ""Bouquet of tulips in various stages of bloom"", ""Tulips in full bloom with subtle color variations"", ""Delicate tulips with soft lighting"", ""Tulips in different stages of bloom"", ""Vivid tulips with green stems"", ""Softly lit tulips in a bouquet"", ""Tulips showcasing their natural beauty"", ""Tulips in a close-up view""]"
